number,uso_bici,address,lat,lon,total,nombre,coddistrit,codbarrio
1,1078,C/GUILLEM DE CASTRO esquina con C/NA JORDANA,39.48004223020643,-0.38292927973315827,25,EL CARME,1,3
2,1000,Salvador Giner - C. Museo,39.479889353348874,-0.3797483936090024,15,EL CARME,1,3
3,1204,Plaza del Musico López Chavarri,39.4768353435743,-0.3802883976424855,20,EL CARME,1,3
4,1401,Plaza de la Virgen - Bailía,39.476747340831494,-0.37534238089458904,25,LA SEU,1,1
5,996,Plaza Poeta Llorente,39.476895339123786,-0.3711403661399108,15,LA XEREA,1,2
6,1085,Guillem de Castro - San Pedro Pascual,39.472798331478145,-0.38408341393871137,15,EL BOTANIC,3,1
7,932,Plaza del Mercado - Taula de Canvis,39.47487233593648,-0.3791853952972924,19,EL MERCAT,1,5
8,1137,Plaza de la Reina - Mar,39.473881223660634,-0.3752982847143531,9,LA SEU,1,1
9,1085,Plaza de Tetuán,39.47435533016869,-0.3699303648826442,25,LA XEREA,1,2
10,812,Hospital - Horno del Hospital,39.470816323984536,-0.38261041097634013,15,SANT FRANCESC,1,6
11,1241,Plaza Ayuntamiento - Cotanda,39.47118632283677,-0.3767843903416451,27,SANT FRANCESC,1,6
12,742,Calle Salvá - Calle Poeta Querol,39.47196722343732,-0.3740102862977963,20,LA XEREA,1,2
13,1106,Alfonso el Magnánimo - Nave,39.4720623227334,-0.37087436964085335,24,SANT FRANCESC,1,6
14,1101,Huesca - Barón de Cárcer,39.46896731649349,-0.37972440222295445,20,SANT FRANCESC,1,6
15,590,Ribera - Plaza Ayuntamiento,39.46908831533384,-0.3756373880434071,34,SANT FRANCESC,1,6
16,1354,"Colón, 60",39.470092316192336,-0.3704333693720587,20,EL PLA DEL REMEI,2,2
17,2494,Xátiva - Bailén (Estación del Norte),39.46746831099193,-0.3772593951806123,30,LA ROQUETA,3,2
18,1351,Colón 20-22,39.468191311513856,-0.37312937987373457,24,EL PLA DEL REMEI,2,2
